Sale Price,No of Bedrooms,No of Bathrooms,No of Floors,Flat Area (in Sqft),Basement Area (in Sqft),Built Year,Renovation Year,Age of House (in Years),Years Since Renovation,Ever Renovated,Sale Price Bin
271657,2,1.0,1.0,900,1201,1905,1985,118,38,Yes,275K
289417,3,1.5,1.5,953,1238,1912,0,111,0,No,300K
307177,4,2.0,2.0,1006,1275,1919,0,104,0,No,300K
324937,5,2.25,2.5,1059,1312,1926,0,97,0,No,325K
342697,2,2.5,1.0,1112,1349,1933,0,90,0,No,350K
360457,3,3.0,1.5,1165,1386,1940,0,83,0,No,350K
378217,4,1.0,2.0,1218,1423,1947,0,76,0,No,375K
395977,5,1.5,2.5,1271,1460,1954,1992,69,31,Yes,400K
413737,2,2.0,1.0,1324,1497,1961,0,62,0,No,425K
431497,3,2.25,1.5,1377,1534,1968,0,55,0,No,425K
449257,4,2.5,2.0,1430,1571,1975,0,48,0,No,450K
467017,5,3.0,2.5,1483,1608,1982,0,41,0,No,475K
484777,2,1.0,1.0,1536,1645,1989,0,34,0,No,475K
502537,3,1.5,1.5,1589,1682,1996,0,27,0,No,500K
520297,4,2.0,2.0,1642,1719,2003,1999,20,24,Yes,525K
538057,5,2.25,2.5,1695,1756,2010,0,13,0,No,550K
555817,2,2.5,1.0,1748,1793,2017,0,6,0,No,550K
573577,3,3.0,1.5,1801,1830,1911,0,112,0,No,575K
591337,4,1.0,2.0,1854,1867,1918,0,105,0,No,600K
609097,5,1.5,2.5,1907,1904,1925,0,98,0,No,600K
626857,2,2.0,1.0,1960,1941,1932,0,91,0,No,625K
644617,3,2.25,1.5,2013,1978,1939,2006,84,17,Yes,625K
662377,4,2.5,2.0,2066,2015,1946,0,77,0,No,625K
680137,5,3.0,2.5,2119,2052,1953,0,70,0,No,625K
697897,2,1.0,1.0,2172,2089,1960,0,63,0,No,625K
715657,3,1.5,1.5,2225,2126,1967,0,56,0,No,625K
733417,4,2.0,2.0,2278,2163,1974,0,49,0,No,625K
751177,5,2.25,2.5,2331,2200,1981,0,42,0,No,625K
288457,2,2.5,1.0,2384,2237,1988,2013,35,10,Yes,300K
306217,3,3.0,1.5,2437,2274,1995,0,28,0,No,300K
323977,4,1.0,2.0,2490,2311,2002,0,21,0,No,325K
341737,5,1.5,2.5,2543,2348,2009,0,14,0,No,350K
359497,2,2.0,1.0,2596,1208,2016,0,7,0,No,350K
377257,3,2.25,1.5,2649,1245,1910,0,113,0,No,375K
395017,4,2.5,2.0,2702,1282,1917,0,106,0,No,400K
412777,5,3.0,2.5,2755,1319,1924,1985,99,38,Yes,425K
430537,2,1.0,1.0,2808,1356,1931,0,92,0,No,425K
448297,3,1.5,1.5,2861,1393,1938,0,85,0,No,450K
466057,4,2.0,2.0,2914,1430,1945,0,78,0,No,475K
483817,5,2.25,2.5,2967,1467,1952,0,71,0,No,475K
501577,2,2.5,1.0,3020,1504,1959,0,64,0,No,500K
519337,3,3.0,1.5,3073,1541,1966,0,57,0,No,525K
537097,4,1.0,2.0,3126,1578,1973,1992,50,31,Yes,525K
554857,5,1.5,2.5,3179,1615,1980,0,43,0,No,550K
572617,2,2.0,1.0,3232,1652,1987,0,36,0,No,575K
590377,3,2.25,1.5,3285,1689,1994,0,29,0,No,600K
608137,4,2.5,2.0,3338,1726,2001,0,22,0,No,600K
625897,5,3.0,2.5,3391,1763,2008,0,15,0,No,625K
643657,2,1.0,1.0,3444,1800,2015,0,8,0,No,625K
661417,3,1.5,1.5,3497,1837,1909,1999,114,24,Yes,625K
679177,4,2.0,2.0,3550,1874,1916,0,107,0,No,625K
696937,5,2.25,2.5,3603,1911,1923,0,100,0,No,625K
714697,2,2.5,1.0,3656,1948,1930,0,93,0,No,625K
732457,3,3.0,1.5,3709,1985,1937,0,86,0,No,625K
750217,4,1.0,2.0,3762,2022,1944,0,79,0,No,625K
287497,5,1.5,2.5,3815,2059,1951,0,72,0,No,275K
305257,2,2.0,1.0,3868,2096,1958,2006,65,17,Yes,300K
323017,3,2.25,1.5,3921,2133,1965,0,58,0,No,325K
340777,4,2.5,2.0,3974,2170,1972,0,51,0,No,350K
358537,5,3.0,2.5,4027,2207,1979,0,44,0,No,350K
376297,2,1.0,1.0,4080,2244,1986,0,37,0,No,375K
394057,3,1.5,1.5,4133,2281,1993,0,30,0,No,400K
411817,4,2.0,2.0,4186,2318,2000,0,23,0,No,400K
429577,5,2.25,2.5,4239,2355,2007,2013,16,10,Yes,425K
447337,2,2.5,1.0,4292,1215,2014,0,9,0,No,450K
465097,3,3.0,1.5,4345,1252,1908,0,115,0,No,475K
482857,4,1.0,2.0,4398,1289,1915,0,108,0,No,475K
500617,5,1.5,2.5,4451,1326,1922,0,101,0,No,500K
518377,2,2.0,1.0,4504,1363,1929,0,94,0,No,525K
536137,3,2.25,1.5,4557,1400,1936,0,87,0,No,525K
553897,4,2.5,2.0,4610,1437,1943,1985,80,38,Yes,550K
571657,5,3.0,2.5,4663,1474,1950,0,73,0,No,575K
589417,2,1.0,1.0,4716,1511,1957,0,66,0,No,600K
607177,3,1.5,1.5,4769,1548,1964,0,59,0,No,600K
624937,4,2.0,2.0,4822,1585,1971,0,52,0,No,625K
642697,5,2.25,2.5,4875,1622,1978,0,45,0,No,625K
660457,2,2.5,1.0,4928,1659,1985,0,38,0,No,625K
678217,3,3.0,1.5,4981,1696,1992,1992,31,31,Yes,625K
695977,4,1.0,2.0,5034,1733,1999,0,24,0,No,625K
713737,5,1.5,2.5,5087,1770,2006,0,17,0,No,625K
731497,2,2.0,1.0,5140,1807,2013,0,10,0,No,625K
749257,3,2.25,1.5,5193,1844,1907,0,116,0,No,625K
286537,4,2.5,2.0,5246,1881,1914,0,109,0,No,275K
304297,5,3.0,2.5,5299,1918,1921,0,102,0,No,300K
322057,2,1.0,1.0,5352,1955,1928,1999,95,24,Yes,325K
339817,3,1.5,1.5,5405,1992,1935,0,88,0,No,350K
